                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4929,                 2.0644,                  1.563,                0.72397,                0.74889,                0.79317,                 0.5036,                 1.2319,                  1.064,                 1.1681,              0.0002759,              0.0002759,              0.0002759
                      2,                 1.2598,                 1.2194,                 1.3765,                0.73033,                0.80346,                 0.8257,                0.56223,                 1.0932,                 0.8945,                 1.1395,              0.0005426,              0.0005426,              0.0005426
                      3,                 1.2651,                 1.1383,                 1.3995,                0.74951,                0.71957,                 0.7776,                0.52438,                 1.0807,                 1.0143,                 1.2096,             0.00079831,             0.00079831,             0.00079831
                      4,                 1.2304,                 1.0465,                 1.3772,                0.80077,                0.83231,                0.88162,                0.63653,                0.96799,                0.76769,                 1.1391,             0.00078352,             0.00078352,             0.00078352
                      5,                 1.2107,                0.97987,                  1.367,                0.75346,                0.82118,                0.85564,                0.59137,                 1.0129,                0.80417,                 1.1771,             0.00076703,             0.00076703,             0.00076703
                      6,                 1.1948,                0.95036,                 1.3634,                 0.8341,                0.83175,                0.88353,                0.62047,                 1.0126,                0.71614,                 1.1978,             0.00075053,             0.00075053,             0.00075053
                      7,                 1.1819,                 0.9001,                 1.3513,                 0.8102,                0.85976,                0.88985,                0.64828,                  0.955,                0.70752,                 1.1303,             0.00073404,             0.00073404,             0.00073404
                      8,                 1.1592,                0.87589,                 1.3426,                0.85284,                0.85679,                 0.9054,                0.65063,                0.96934,                0.65829,                 1.1607,             0.00071755,             0.00071755,             0.00071755
                      9,                 1.1654,                0.84893,                 1.3524,                0.86506,                0.88334,                0.91725,                0.66891,                0.97154,                0.63283,                 1.1889,             0.00070105,             0.00070105,             0.00070105
                     10,                 1.1403,                0.82509,                   1.33,                0.87918,                0.88875,                0.92863,                0.69237,                0.91667,                0.57453,                 1.1357,             0.00068456,             0.00068456,             0.00068456
                     11,                 1.1274,                0.81241,                  1.323,                0.87314,                 0.8741,                 0.9208,                0.66334,                0.98263,                0.62072,                 1.1831,             0.00066807,             0.00066807,             0.00066807
                     12,                  1.121,                0.79698,                  1.318,                0.91151,                0.89865,                0.92891,                0.69711,                0.90252,                0.53907,                 1.1218,             0.00065157,             0.00065157,             0.00065157
                     13,                 1.1013,                0.77628,                 1.3064,                0.86571,                0.89538,                 0.9257,                0.67914,                0.93676,                 0.5987,                 1.1464,             0.00063508,             0.00063508,             0.00063508
                     14,                 1.0886,                0.76643,                 1.3084,                0.88226,                0.89445,                0.92486,                0.67444,                0.97188,                0.59504,                 1.1843,             0.00061859,             0.00061859,             0.00061859
                     15,                 1.0876,                0.74568,                 1.2951,                0.90945,                0.90677,                0.93855,                0.69802,                0.92021,                0.52667,                 1.1282,             0.00060209,             0.00060209,             0.00060209
                     16,                 1.0755,                0.74007,                 1.2979,                0.87591,                0.91308,                0.93486,                0.70263,                0.89791,                 0.5332,                 1.1061,              0.0005856,              0.0005856,              0.0005856
                     17,                 1.0528,                0.71893,                 1.2856,                 0.8704,                0.88699,                0.93561,                0.70329,                0.91485,                0.54145,                 1.1172,             0.00056911,             0.00056911,             0.00056911
                     18,                 1.0586,                0.70884,                 1.2797,                0.90861,                0.90033,                0.93805,                0.69596,                0.92663,                0.52763,                 1.1482,             0.00055261,             0.00055261,             0.00055261
                     19,                  1.048,                0.71105,                 1.2802,                0.89947,                0.91257,                0.93553,                0.70126,                0.90945,                 0.5164,                 1.1265,             0.00053612,             0.00053612,             0.00053612
                     20,                 1.0272,                0.68395,                 1.2555,                0.90884,                0.91479,                0.95022,                0.72414,                0.90282,                0.49223,                 1.0956,             0.00051963,             0.00051963,             0.00051963
                     21,                 1.0352,                0.68573,                 1.2657,                0.87577,                0.93362,                0.94208,                0.71892,                0.89623,                0.49831,                 1.1136,             0.00050313,             0.00050313,             0.00050313
                     22,                  1.027,                0.67918,                 1.2593,                0.90642,                0.91822,                0.94447,                0.71782,                0.90428,                0.50213,                 1.1204,             0.00048664,             0.00048664,             0.00048664
                     23,                 1.0058,                0.66588,                 1.2543,                0.91333,                0.91693,                0.94432,                0.71845,                0.89027,                0.48811,                 1.1305,             0.00047015,             0.00047015,             0.00047015
                     24,                 1.0068,                0.66019,                 1.2519,                0.91882,                 0.9086,                0.94507,                0.71829,                0.90136,                0.48161,                 1.1188,             0.00045365,             0.00045365,             0.00045365
                     25,                0.98682,                0.63871,                  1.226,                0.92377,                0.91893,                 0.9516,                0.72776,                0.89993,                0.47088,                 1.1076,             0.00043716,             0.00043716,             0.00043716
                     26,                0.99113,                 0.6367,                 1.2348,                0.90865,                0.91215,                0.94623,                0.72557,                0.88867,                0.47907,                 1.1197,             0.00042066,             0.00042066,             0.00042066
                     27,                0.98353,                0.62981,                 1.2375,                 0.9057,                0.91846,                0.94422,                0.71901,                0.90944,                0.49134,                 1.1363,             0.00040417,             0.00040417,             0.00040417
                     28,                0.97882,                0.62503,                 1.2264,                0.91768,                0.91542,                0.94764,                0.72867,                0.89131,                0.47056,                 1.0938,             0.00038768,             0.00038768,             0.00038768
                     29,                0.96381,                0.61858,                 1.2149,                0.91281,                 0.9114,                0.94483,                  0.719,                0.88824,                 0.4851,                 1.1032,             0.00037118,             0.00037118,             0.00037118
                     30,                0.95694,                0.60932,                 1.2154,                0.92584,                0.92276,                0.94667,                0.72399,                0.88883,                0.46946,                 1.1054,             0.00035469,             0.00035469,             0.00035469
                     31,                0.94293,                0.59768,                 1.2093,                0.89816,                0.92217,                0.94337,                0.72491,                0.89242,                0.48117,                   1.11,              0.0003382,              0.0003382,              0.0003382
                     32,                0.94798,                0.59966,                 1.2075,                0.92334,                0.91721,                0.94537,                0.72645,                0.88932,                0.46969,                 1.0993,              0.0003217,              0.0003217,              0.0003217
                     33,                0.94167,                0.59407,                 1.2105,                0.90671,                0.91749,                0.94409,                0.72593,                 0.8867,                0.48073,                 1.1137,             0.00030521,             0.00030521,             0.00030521
                     34,                0.92798,                0.57637,                 1.1878,                0.91096,                0.93455,                0.94995,                0.73337,                0.88153,                 0.4542,                 1.1095,             0.00028872,             0.00028872,             0.00028872
                     35,                0.91633,                0.56999,                 1.1893,                0.91887,                0.91556,                0.94722,                0.73497,                0.88064,                0.46369,                 1.1018,             0.00027222,             0.00027222,             0.00027222
                     36,                0.91465,                0.56637,                   1.19,                0.90943,                0.92187,                0.94527,                0.72815,                0.88384,                0.46517,                 1.1025,             0.00025573,             0.00025573,             0.00025573
                     37,                0.90573,                0.55983,                 1.1897,                0.90979,                0.93296,                0.94714,                0.73643,                0.87237,                0.46032,                 1.1164,             0.00023924,             0.00023924,             0.00023924
                     38,                0.91139,                0.55919,                 1.1931,                0.91825,                0.93206,                0.94595,                0.72916,                0.89429,                0.45779,                 1.1209,             0.00022274,             0.00022274,             0.00022274
                     39,                0.89221,                0.54587,                 1.1787,                 0.9236,                0.92096,                0.94715,                0.73695,                 0.8779,                0.45543,                 1.1125,             0.00020625,             0.00020625,             0.00020625
                     40,                0.88821,                0.54377,                 1.1742,                0.92101,                0.91192,                0.94739,                0.73669,                0.87534,                0.44651,                 1.1021,             0.00018976,             0.00018976,             0.00018976
                     41,                0.82441,                0.41331,                  1.133,                0.93207,                0.91439,                0.94455,                0.73122,                0.87656,                0.44558,                 1.1034,             0.00017326,             0.00017326,             0.00017326
                     42,                0.82232,                0.40756,                 1.1214,                0.92307,                0.91681,                0.94142,                0.72356,                0.90656,                0.45965,                 1.1147,             0.00015677,             0.00015677,             0.00015677
                     43,                0.79271,                0.39474,                 1.1151,                 0.9028,                0.93175,                0.94265,                0.73213,                0.88128,                0.45562,                  1.112,             0.00014028,             0.00014028,             0.00014028
                     44,                 0.7935,                0.38796,                 1.1098,                0.91389,                0.92384,                  0.943,                0.73651,                0.87565,                0.45195,                 1.1032,             0.00012378,             0.00012378,             0.00012378
                     45,                0.77702,                0.37996,                  1.103,                0.91672,                0.92739,                0.94188,                0.73555,                0.87566,                0.44595,                 1.0971,             0.00010729,             0.00010729,             0.00010729
                     46,                 0.7664,                0.37838,                 1.1024,                0.90738,                0.92294,                0.94121,                0.72855,                0.88307,                0.45715,                 1.1417,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     47,                0.76457,                 0.3766,                 1.1035,                0.91911,                0.92076,                0.94467,                0.73817,                0.87567,                0.44813,                 1.1074,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     48,                0.75205,                 0.3681,                 1.0853,                0.92195,                0.91153,                0.94275,                0.73557,                0.87725,                0.44955,                 1.0977,              5.781e-05,              5.781e-05,              5.781e-05
                     49,                0.74751,                0.36778,                 1.0851,                 0.9187,                0.91711,                0.94457,                0.73947,                0.87431,                0.44943,                 1.1044,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     50,                0.73454,                0.35634,                 1.0728,                0.91685,                0.92077,                0.94395,                0.73751,                0.87276,                0.44984,                 1.0985,             2.4823e-05,             2.4823e-05,             2.4823e-05
